[856, 390, 31, 283.4895, 0.0044686487, 0, -1;
 740, 129, 31, 221.44563, 0.0026626922, 0, -1;
 773, 296, 31, 299.43216, 0.0026563113, 0, -1;
 507, 165, 31, 53.872002, 0.0026537222, 0, -1;
 584.40002, 160.8, 37.200001, 263.2182, 0.0042682537, 1, -1;
 226.8, 224.40001, 37.200001, 277.83719, 0.0040234402, 1, -1;
 817.20001, 201.60001, 37.200001, 278.23383, 0.0043151448, 1, -1;
 627.60004, 163.20001, 37.200001, 95.29084, 0.0033133258, 1, -1;
 855.60004, 385.20001, 37.200001, 272.56351, 0.0033230491, 1, -1;
 224.40001, 225.60001, 37.200001, 301.02759, 0.0048658685, 1, -1;
 526.80005, 152.40001, 37.200001, 324.85898, 0.0034687629, 1, -1;
 148.8, 180, 37.200001, 119.61612, 0.0041052978, 1, -1;
 823.20001, 170.40001, 37.200001, 91.233932, 0.004653946, 1, -1;
 584.40002, 157.20001, 37.200001, 255.4173, 0.0046563628, 1, -1;
 774.00006, 298.80002, 37.200001, 1.540756, 0.003283842, 1, -1;
 814.80005, 134.40001, 37.200001, 285.05612, 0.0034193275, 1, -1;
 864.00006, 296.40002, 37.200001, 11.734112, 0.0035552289, 1, -1;
 243.60001, 163.20001, 37.200001, 235.49205, 0.0037579089, 1, -1;
 567.60004, 151.20001, 37.200001, 261.83191, 0.0037245988, 1, -1;
 900.00006, 387.60001, 37.200001, 248.38446, 0.0036255503, 1, -1;
 649.20001, 135.60001, 37.200001, 24.554754, 0.0047856933, 1, -1;
 771.60004, 296.40002, 37.200001, 311.84647, 0.0033769268, 1, -1;
 499.20001, 152.40001, 37.200001, 224.56163, 0.0043296078, 1, -1;
 855.60004, 391.20001, 37.200001, 261.32739, 0.00460133, 1, -1;
 600, 129.60001, 37.200001, 258.216, 0.0054551517, 1, -1;
 582, 159.60001, 37.200001, 279.54373, 0.0048827729, 1, -1;
 841.20001, 208.8, 37.200001, 248.17636, 0.0046309088, 1, -1;
 823.20001, 175.20001, 37.200001, 93.202003, 0.0041827094, 1, -1;
 194.40001, 229.20001, 37.200001, 189.04532, 0.0033555797, 1, -1;
 722.40002, 158.40001, 37.200001, 166.17651, 0.0032513209, 1, -1;
 607.20001, 129.60001, 37.200001, 316.84134, 0.004174279, 1, -1;
 129.60001, 165.60001, 37.200001, 212.02098, 0.0038591539, 1, -1;
 735.60004, 158.40001, 37.200001, 57.101921, 0.0033818211, 1, -1;
 145.20001, 165.60001, 37.200001, 284.7869, 0.0036303676, 1, -1;
 589.20001, 151.20001, 37.200001, 243.71558, 0.0037150658, 1, -1;
 649.20001, 151.20001, 37.200001, 270.86157, 0.0035306374, 1, -1;
 708, 201.60001, 37.200001, 316.00174, 0.0043839407, 1, -1;
 649.20001, 132, 37.200001, 44.249958, 0.0058200238, 1, -1;
 184.8, 224.40001, 37.200001, 209.82625, 0.0040590712, 1, -1;
 519.60004, 162, 37.200001, 115.31128, 0.0039170389, 1, -1;
 786.00006, 234.00002, 37.200001, 242.91539, 0.003894456, 1, -1;
 918.00006, 390.00003, 37.200001, 293.73331, 0.0038536829, 1, -1;
 504.00003, 165.60001, 37.200001, 65.916229, 0.0048278538, 1, -1;
 819.60004, 295.20001, 37.200001, 314.66809, 0.0032888791, 1, -1;
 187.20001, 224.40001, 37.200001, 213.89145, 0.005115699, 1, -1;
 241.20001, 168, 37.200001, 200.66324, 0.0043641441, 1, -1;
 619.20001, 151.20001, 37.200001, 268.27377, 0.0055925366, 1, -1;
 549.60004, 160.8, 37.200001, 189.65414, 0.003267315, 1, -1;
 757.20001, 226.8, 37.200001, 159.60049, 0.0032496131, 1, -1;
 739.20001, 298.80002, 37.200001, 183.17436, 0.0030672946, 1, -1;
 184.8, 357.60001, 37.200001, 201.93999, 0.0030453666, 1, -1;
 710.40002, 202.8, 37.200001, 334.3616, 0.0029727775, 1, -1;
 532.80005, 157.20001, 37.200001, 231.90372, 0.0027513516, 1, -1;
 206.40001, 357.60001, 37.200001, 259.80774, 0.0030951693, 1, -1;
 760.80005, 296.40002, 37.200001, 286.21198, 0.0028997697, 1, -1;
 796.80005, 300, 37.200001, 114.22971, 0.0027061449, 1, -1;
 807.60004, 363.60001, 37.200001, 107.81049, 0.0030944811, 1, -1;
 564, 159.60001, 37.200001, 287.18655, 0.0032294651, 1, -1;
 814.80005, 150, 37.200001, 283.27463, 0.00321774, 1, -1;
 710.40002, 150, 37.200001, 261.31842, 0.0032017203, 1, -1;
 742.80005, 308.40002, 37.200001, 120.29979, 0.0027859623, 1, -1;
 801.60004, 295.20001, 37.200001, 214.92111, 0.0032054107, 1, -1;
 826.80005, 150, 37.200001, 267.17639, 0.0029242178, 1, -1;
 714, 158.40001, 37.200001, 175.59567, 0.0027273616, 1, -1;
 799.20001, 158.40001, 37.200001, 109.83604, 0.0027051684, 1, -1;
 634.80005, 142.8, 37.200001, 265.05713, 0.0030858715, 1, -1;
 740.40002, 164.40001, 37.200001, 82.196724, 0.0027206088, 1, -1;
 830.40002, 158.40001, 37.200001, 3.799264, 0.0030165424, 1, -1;
 865.20001, 292.80002, 37.200001, 347.72128, 0.0028015336, 1, -1;
 600, 165.60001, 37.200001, 44.692387, 0.0028956768, 1, -1;
 836.40002, 360, 37.200001, 53.373398, 0.002890955, 1, -1;
 142.8, 170.40001, 37.200001, 314.2103, 0.0029839904, 1, -1;
 918.00006, 403.20001, 37.200001, 274.56464, 0.003075667, 1, -1;
 854.40002, 300, 37.200001, 111.50903, 0.0028350011, 1, -1;
 513.60004, 146.40001, 37.200001, 243.69231, 0.0031899752, 1, -1;
 835.20001, 158.40001, 37.200001, 38.587143, 0.0027821183, 1, -1;
 946.80005, 387.60001, 37.200001, 322.91803, 0.0032260013, 1, -1;
 748.80005, 128.40001, 37.200001, 338.06824, 0.0027462028, 1, -1;
 787.20001, 355.20001, 37.200001, 231.94133, 0.0030958308, 1, -1;
 810.00006, 258, 37.200001, 69.671997, 0.0030999687, 1, -1;
 940.80005, 393.60001, 37.200001, 283.37872, 0.0026876736, 1, -1;
 945.60004, 391.20001, 37.200001, 333.61664, 0.0026749279, 1, -1;
 171.60001, 163.20001, 37.200001, 275.56934, 0.0026563723, 1, -1;
 744, 388.80002, 37.200001, 218.38731, 0.0026094252, 1, -1;
