 521, 450, 31, 272.4483, 0.0017381898, 0, -1;
 361, 456, 31, 336.27682, 0.0017246916, 0, -1;
 466, 75, 31, 30.27692, 0.001710253, 0, -1;
 382.80002, 462.00003, 37.200001, 75.656639, 0.0013689045, 1, -1;
 667.20001, 439.20001, 37.200001, 235.08006, 0.001312649, 1, -1;
 741.60004, 337.20001, 37.200001, 0.31604621, 0.0017487528, 1, -1;
 522, 73.200005, 37.200001, 29.242502, 0.001691695, 1, -1;
 82.800003, 235.20001, 37.200001, 196.57851, 0.0015149456, 1, -1;
 93.600006, 213.60001, 37.200001, 140.45398, 0.0018705963, 1, -1;
 915.60004, 91.200005, 37.200001, 354.98865, 0.0021971881, 1, -1;
 630, 456.00003, 37.200001, 239.64346, 0.0015290589, 1, -1;
 733.20001, 362.40002, 37.200001, 13.991988, 0.0021905045, 1, -1;
 741.60004, 259.20001, 37.200001, 351.55051, 0.0020517742, 1, -1;
 726, 222.00002, 37.200001, 347.3848, 0.0018371774, 1, -1;
 745.20001, 314.40002, 37.200001, 350.30865, 0.0029553561, 1, -1;
 727.20001, 375.60001, 37.200001, 7.6842313, 0.0022931956, 1, -1;
 74.400002, 339.60001, 37.200001, 163.82939, 0.0027965249, 1, -1;
 712.80005, 398.40002, 37.200001, 335.77292, 0.0018086848, 1, -1;
 193.20001, 457.20001, 37.200001, 291.85654, 0.0018478869, 1, -1;
 273.60001, 458.40002, 37.200001, 222.42126, 0.0011589774, 1, -1;
 709.20001, 403.20001, 37.200001, 256.02441, 0.001780934, 1, -1;
 660, 444.00003, 37.200001, 291.75153, 0.0012842735, 1, -1;
 544.80005, 61.200001, 37.200001, 302.23746, 0.0020740724, 1, -1;
 726, 378, 37.200001, 25.941339, 0.0030694229, 1, -1;
 520.80005, 61.200001, 37.200001, 297.87766, 0.0011703875, 1, -1;
 744, 276, 37.200001, 351.33994, 0.0022068657, 1, -1;
 926.40002, 174, 37.200001, 89.87011, 0.0012162187, 1, -1;
 746.40002, 298.80002, 37.200001, 352.90857, 0.0024579444, 1, -1;
 733.20001, 236.40001, 37.200001, 322.8732, 0.001910924, 1, -1;
 344.40002, 451.20001, 37.200001, 238.20995, 0.0013492958, 1, -1;
 745.20001, 283.20001, 37.200001, 348.75244, 0.0022644429, 1, -1;
 680.40002, 430.80002, 37.200001, 186.19322, 0.0015793145, 1, -1;
 606, 462.00003, 37.200001, 246.47023, 0.0014934086, 1, -1;
 192, 139.20001, 37.200001, 230.52063, 0.0013351844, 1, -1;
 88.800003, 220.8, 37.200001, 205.51358, 0.0014628591, 1, -1;
 558, 462.00003, 37.200001, 165.55054, 0.0012982646, 1, -1;
 74.400002, 337.20001, 37.200001, 178.23172, 0.0021492925, 1, -1;
 543.60004, 63.600002, 37.200001, 289.08499, 0.0017393227, 1, -1;
 566.40002, 462.00003, 37.200001, 183.5188, 0.0016574176, 1, -1;
 156, 442.80002, 37.200001, 329.19839, 0.001252376, 1, -1;
 430.80002, 462.00003, 37.200001, 95.067055, 0.0013416639, 1, -1;
 391.20001, 462.00003, 37.200001, 146.56264, 0.0012522327, 1, -1;
 744, 322.80002, 37.200001, 2.8756096, 0.0022086224, 1, -1;
 69.600006, 298.80002, 37.200001, 176.01025, 0.0020403818, 1, -1;
 723.60004, 216.00002, 37.200001, 32.649967, 0.0025408671, 1, -1;
 566.40002, 67.200005, 37.200001, 269.66998, 0.0016537919, 1, -1;
 739.20001, 252.00002, 37.200001, 334.68661, 0.0025449432, 1, -1;
 75.600006, 346.80002, 37.200001, 163.97061, 0.0016183029, 1, -1;
 124.8, 214.8, 37.200001, 199.69292, 0.0012116319, 1, -1;
 72, 274.80002, 37.200001, 190.90829, 0.0014915188, 1, -1;
 234.00002, 462.00003, 37.200001, 271.44434, 0.0015016751, 1, -1;
 632.40002, 68.400002, 37.200001, 318.72168, 0.0015248788, 1, -1;
 722.40002, 384, 37.200001, 37.435593, 0.0019601749, 1, -1;
 217.20001, 462.00003, 37.200001, 285.59174, 0.0013353392, 1, -1;
 256.80002, 460.80002, 37.200001, 217.60368, 0.0013681621, 1, -1;
 693.60004, 380.40002, 37.200001, 33.957253, 0.0012535943, 1, -1;
 74.400002, 259.20001, 37.200001, 192.01686, 0.0017389029, 1, -1;
 210.00002, 460.80002, 37.200001, 281.6452, 0.0020418104, 1, -1;
 548.40002, 69.600006, 37.200001, 235.31844, 0.0019108524, 1, -1;
 184.8, 456.00003, 37.200001, 282.43372, 0.0016023847, 1, -1;
 337.20001, 76.800003, 37.200001, 204.92006, 0.0012812119, 1, -1;
 70.800003, 282, 37.200001, 193.38486, 0.0016814109, 1, -1;
 622.80005, 458.40002, 37.200001, 176.65083, 0.001347948, 1, -1;
 76.800003, 250.8, 37.200001, 197.36128, 0.0017258794, 1, -1;
 136.8, 345.60001, 37.200001, 51.980183, 0.0015456412, 1, -1;
 72, 322.80002, 37.200001, 162.61705, 0.0020517358, 1, -1;
 548.40002, 67.200005, 37.200001, 283.9469, 0.0026650436, 1, -1;
 70.800003, 315.60001, 37.200001, 160.17981, 0.0023419806, 1, -1;
 171.60001, 146.40001, 37.200001, 220.01945, 0.0014339002, 1, -1;
 739.20001, 346.80002, 37.200001, 19.763157, 0.0019674832, 1, -1;
 360, 456.00003, 37.200001, 346.03085, 0.0012388694, 1, -1;
 535.20001, 456.00003, 37.200001, 339.25601, 0.0015067541, 1, -1;
 553.20001, 91.200005, 37.200001, 171.00912, 0.0012050527, 1, -1;
 301.20001, 67.200005, 37.200001, 284.51477, 0.001158961, 1, -1;
 598.80005, 86.400002, 37.200001, 109.38087, 0.001157681, 1, -1;
 484.80002, 444.00003, 37.200001, 342.61337, 0.001155399, 1, -1;
 639.60004, 82.800003, 37.200001, 301.87445, 0.0011519738, 1, -1;
 664.80005, 409.20001, 37.200001, 9.45749, 0.0011397316, 1, -1;
 469.20001, 450.00003, 37.200001, 223.24265, 0.0011372243, 1, -1;
 645.60004, 451.20001, 37.200001, 269.44312, 0.001135506, 1, -1;
 175.20001, 332.40002, 37.200001, 59.680695, 0.0011329253, 1, -1;
 518.40002, 450.00003, 37.200001, 299.0322, 0.0011299266, 1, -1;
 310.80002, 444.00003, 37.200001, 243.15106, 0.001106723, 1, -1;
 366, 457.20001, 37.200001, 354.72958, 0.001106629, 1, -1;
 686.40002, 426.00003, 37.200001, 255.17676, 0.0010857817, 1, -1;
 280.80002, 456.00003, 37.200001, 227.08171, 0.0010786117, 1, -1;
 630, 63.600002, 37.200001, 305.99231, 0.0010778942, 1, -1;
