[825, 417, 31, 34.245728, 0.0019629674, 0, -1;
 265, 107, 31, 297.54434, 0.0018828742, 0, -1;
 826, 401, 31, 303.61804, 0.001497715, 0, -1;
 240, 105, 31, 272.09012, 0.0016084982, 0, -1;
 827, 338, 31, 67.576874, 0.0024601864, 0, -1;
 844, 401, 31, 215.63327, 0.0023253977, 0, -1;
 852, 401, 31, 291.7742, 0.0021111674, 0, -1;
 941, 401, 31, 254.46094, 0.0026198374, 0, -1;
 885, 335, 31, 132.64041, 0.0014246091, 0, -1;
 779, 403, 31, 250.05621, 0.0025563296, 0, -1;
 902, 250, 31, 297.32346, 0.0014272286, 0, -1;
 898, 67, 31, 105.48944, 0.0016995735, 0, -1;
 203, 104, 31, 228.74039, 0.001504635, 0, -1;
 87, 69, 31, 307.38803, 0.0017696235, 0, -1;
 265, 102, 31, 275.34274, 0.0015533018, 0, -1;
 803, 334, 31, 111.22967, 0.0036949506, 0, -1;
 744, 407, 31, 205.05011, 0.0021809347, 0, -1;
 753, 407, 31, 256.84088, 0.0027197802, 0, -1;
 749, 411, 31, 148.6077, 0.0020328239, 0, -1;
 917, 399, 31, 254.47198, 0.0019109877, 0, -1;
 188, 69, 31, 358.9881, 0.0040899422, 0, -1;
 934, 92, 31, 177.15128, 0.0017069462, 0, -1;
 829, 293, 31, 82.141731, 0.0014994841, 0, -1;
 733, 238, 31, 326.43323, 0.0018949469, 0, -1;
 848, 407, 31, 208.56641, 0.00219701, 0, -1;
 140, 63, 31, 287.69489, 0.0020416062, 0, -1;
 851, 328, 31, 263.45999, 0.003389667, 0, -1;
 274, 102, 31, 313.86533, 0.0015015829, 0, -1;
 872, 329, 31, 239.42381, 0.0015036452, 0, -1;
 232, 63, 31, 263.32599, 0.0043408652, 0, -1;
 825, 409, 31, 294.23596, 0.0014428076, 0, -1;
 62, 70, 31, 177.78824, 0.0022886014, 0, -1;
 859, 268, 31, 30.670223, 0.0015017387, 0, -1;
 208, 109, 31, 129.0437, 0.0052924589, 0, -1;
 819, 421, 31, 95.40332, 0.0020723667, 0, -1;
 873, 405, 31, 285.92267, 0.0022474334, 0, -1;
 965, 409, 31, 141.43568, 0.0017313238, 0, -1;
 891, 409, 31, 173.47838, 0.0024101932, 0, -1;
 249, 107, 31, 227.47296, 0.0022489203, 0, -1;
 121, 70, 31, 315.52673, 0.0026163738, 0, -1;
 830, 338, 31, 154.64871, 0.0014786206, 0, -1;
 209, 70, 31, 117.54463, 0.0028608674, 0, -1;
 870, 411, 31, 129.05959, 0.0026462162, 0, -1;
 814, 327, 31, 301.7226, 0.0017880707, 0, -1;
 251, 103, 31, 260.13882, 0.001868539, 0, -1;
 98, 86, 31, 97.067703, 0.001517582, 0, -1;
 77, 68, 31, 215.72528, 0.0020523777, 0, -1;
 830, 333, 31, 265.9267, 0.0017595332, 0, -1;
 706, 95, 31, 63.852322, 0.0015865897, 0, -1;
 818, 333, 31, 303.23633, 0.0020194056, 0, -1;
 805, 415, 31, 4.0204782, 0.0025503852, 0, -1;
 209, 111, 31, 101.56588, 0.0059472113, 0, -1;
 135, 65, 31, 261.767, 0.0023901581, 0, -1;
 870, 409, 31, 158.22197, 0.0032831454, 0, -1;
 185, 62, 31, 261.00339, 0.0021719404, 0, -1;
 874, 409, 31, 15.217041, 0.0033240831, 0, -1;
 831, 420, 31, 10.495727, 0.0018200231, 0, -1;
 918, 404, 31, 252.73959, 0.0031986516, 0, -1;
 852, 422, 31, 85.203842, 0.0014619922, 0, -1;
 825, 405, 31, 295.2301, 0.0016960709, 0, -1;
 857, 270, 31, 126.34678, 0.0016674318, 0, -1;
 861, 256, 31, 19.821606, 0.0015129873, 0, -1;
 899, 422, 31, 60.729652, 0.0036602621, 0, -1;
