[253, 335, 31, 254.39011, 0.0096868146, 0, -1;
 177, 340, 31, 219.17734, 0.0090473983, 0, -1;
 977, 149, 31, 224.46432, 0.0053374693, 0, -1;
 313, 331, 31, 264.59158, 0.0049007963, 0, -1;
 337, 339, 31, 175.21536, 0.0061986432, 0, -1;
 376, 291, 31, 255.01639, 0.0049592862, 0, -1;
 361, 290, 31, 187.9543, 0.0048211003, 0, -1;
 215, 345, 31, 109.8458, 0.0055973832, 0, -1;
 58, 448, 31, 276.63913, 0.0049242675, 0, -1;
 423, 288, 31, 274.92633, 0.0048260042, 0, -1;
 977, 242, 31, 355.90054, 0.0050927689, 0, -1;
 250, 340, 31, 178.86993, 0.0063238819, 0, -1;
 797, 157, 31, 83.491737, 0.0060286052, 0, -1;
 176, 343, 31, 133.13739, 0.011478757, 0, -1;
 884, 410, 31, 300.03665, 0.0049318601, 0, -1;
 341, 342, 31, 95.615196, 0.005331628, 0, -1;
 214, 341, 31, 227.98891, 0.0061342544, 0, -1;
 955, 156, 31, 104.0493, 0.0062459055, 0, -1;
 939, 148, 31, 340.29221, 0.0066837543, 0, -1;
 448, 351, 31, 315.03027, 0.0052830484, 0, -1;
 396, 210, 31, 132.24243, 0.0063203555, 0, -1;
 206, 344, 31, 65.753571, 0.0052182237, 0, -1;
 178, 336, 31, 258.84613, 0.0084259743, 0, -1;
 209, 334, 31, 296.77612, 0.004788381, 0, -1;
 189, 338, 31, 293.38638, 0.0064839511, 0, -1;
 109, 407, 31, 252.48448, 0.0052574887, 0, -1;
 192, 335, 31, 288.68076, 0.0063993884, 0, -1;
 422, 295, 31, 105.39349, 0.0065256781, 0, -1;
 976, 248, 31, 46.029179, 0.0066995081, 0, -1;
 229, 335, 31, 297.82413, 0.0075975182, 0, -1;
 448, 292, 31, 302.22699, 0.0057188733, 0, -1;
 369, 286, 31, 240.71875, 0.0047899531, 0, -1;
 365, 289, 31, 213.41032, 0.0051516443, 0, -1;
 459, 190, 31, 101.27856, 0.0074356864, 0, -1;
 178, 342, 31, 95.499763, 0.016039815, 0, -1;
 955, 144, 31, 289.90112, 0.0060470616, 0, -1;
 932, 151, 31, 61.772392, 0.0057818056, 0, -1;
 88, 450, 31, 277.38037, 0.0048577939, 0, -1;
